"","Position","Enrichment","Type"
"522",240,0.01846,"Inr"
"523",250,0.0188,"Inr"
"524",260,0.0198,"Inr"
"525",270,0.02123,"Inr"
"526",280,0.0221,"Inr"
"527",290,0.02265,"Inr"
"528",300,0.02262,"Inr"
"529",310,0.02289,"Inr"
"530",320,0.02235,"Inr"
"531",330,0.02125,"Inr"
"532",340,0.02092,"Inr"
"533",350,0.01952,"Inr"
"534",360,0.01996,"Inr"
"535",370,0.02,"Inr"
"536",380,0.01949,"Inr"
"537",390,0.01954,"Inr"
"538",400,0.01993,"Inr"
"539",410,0.02014,"Inr"
"540",420,0.02126,"Inr"
"541",430,0.02171,"Inr"
"542",440,0.02183,"Inr"
"543",450,0.02235,"Inr"
"544",460,0.02359,"Inr"
"545",470,0.02382,"Inr"
"546",480,0.02397,"Inr"
"547",490,0.02367,"Inr"
"548",500,0.02331,"Inr"
"549",510,0.02258,"Inr"
"550",520,0.02273,"Inr"
"551",530,0.02165,"Inr"
"552",540,0.02196,"Inr"
"553",550,0.02182,"Inr"
"554",560,0.02168,"Inr"
"555",570,0.02204,"Inr"
"556",580,0.02186,"Inr"
"557",590,0.02308,"Inr"
"558",600,0.02323,"Inr"
"559",610,0.02391,"Inr"
"560",620,0.02394,"Inr"
"561",630,0.02444,"Inr"
"562",640,0.02453,"Inr"
"563",650,0.02552,"Inr"
"564",660,0.02482,"Inr"
"565",670,0.02526,"Inr"
"566",680,0.02472,"Inr"
"567",690,0.02428,"Inr"
"568",700,0.02422,"Inr"
"569",710,0.02407,"Inr"
"570",720,0.02415,"Inr"
"571",730,0.02378,"Inr"
"572",740,0.02333,"Inr"
"573",750,0.02342,"Inr"
"574",760,0.02404,"Inr"
"575",770,0.0245,"Inr"
"576",780,0.02495,"Inr"
"577",790,0.02469,"Inr"
"578",800,0.02533,"Inr"
"579",810,0.02612,"Inr"
"580",820,0.02586,"Inr"
"581",830,0.02598,"Inr"
"582",840,0.02623,"Inr"
"583",850,0.02563,"Inr"
"584",860,0.0257,"Inr"
"585",870,0.02505,"Inr"
"586",880,0.02526,"Inr"
"587",890,0.02592,"Inr"
"588",900,0.02531,"Inr"
"589",910,0.02514,"Inr"
"590",920,0.02484,"Inr"
"591",930,0.02527,"Inr"
"592",940,0.02518,"Inr"
"593",950,0.02589,"Inr"
"594",960,0.02605,"Inr"
"595",970,0.02591,"Inr"
"596",980,0.02628,"Inr"
"597",990,0.02628,"Inr"
